"filePath","date","tags","zhTitle","enTitle","zhDesc","enDesc","favorite","hide"
"2016/20160209_BeiYanDang/DSC06282.JPG",2016-02-09 08:15:15,"2016,beiyandang,sites,travel","空中亭","Pavillion in Air","一座亭子建在半山，好像立在空中。","",0,0
"2016/20160209_BeiYanDang/DSC06285.JPG",2016-02-09 08:29:14,"2016,beiyandang,selfie,travel","自拍","Selfie","两个人在自拍。","",0,0
"2016/20160209_BeiYanDang/DSC06288.JPG",2016-02-09 08:32:09,"2016,beiyandang,sites,travel","山中寺庙","Temple in Hill","山坳中有一座寺庙，我并不知道它的名字。","",0,0
"2016/20160209_BeiYanDang/DSC06291.JPG",2016-02-09 08:37:49,"2016,beiyandang,sites,travel","云烟","Smokey Cloud","早上山中的云雾还没有消退。","",0,0
"2016/20160209_BeiYanDang/DSC06292.JPG",2016-02-09 08:41:08,"2016,beiyandang,sites,travel","山中寺庙","Temple in Hill","山坳中的寺庙，局部。","",0,0
"2016/20160209_BeiYanDang/DSC06293.JPG",2016-02-09 08:44:10,"2016,beiyandang,selfie,travel","自拍","Selfie","两个人在自拍。","",0,0
"2016/20160209_BeiYanDang/DSC06296.JPG",2016-02-09 08:46:22,"2016,beiyandang,selfie,travel","一家人自拍","Family Selfie","一家人很开心的在自拍。","",0,0
"2016/20160209_BeiYanDang/DSC06297.JPG",2016-02-09 08:46:55,"2016,beiyandang,selfie,travel","一家人自拍","Family Selfie","一家人很开心的在自拍。","",0,0
"2016/20160209_BeiYanDang/DSC06298.JPG",2016-02-09 09:01:40,"2016,beiyandang,people,travel","一家人","Family","操着东北口音的一家人。","",0,0
"2016/20160209_BeiYanDang/DSC06300.JPG",2016-02-09 09:23:49,"2016,beiyandang,sites,travel","观音洞","Guanyin Cave","这座寺庙建在合掌峰的中间缝隙中。","",0,0
"2016/20160209_BeiYanDang/DSC06304.JPG",2016-02-09 09:41:50,"2016,beiyandang,people,travel","玩手机的出家人","A Monk Enjoying Cellphone","在景点值班的和尚，无聊地摆弄手机，看起来被什么吸引着。","",1,0
"2016/20160209_BeiYanDang/DSC06305.JPG",2016-02-09 09:55:31,"2016,beiyandang,sites,travel","白云庵","Baiyun Nunnery","观音洞下面不远就是白云庵，庵里很安静，影壁正面写着“阿弥陀佛”。","",1,0
"2016/20160209_BeiYanDang/DSC06306.JPG",2016-02-09 09:59:30,"2016,beiyandang,interesting,travel","回头是岸","Never Too Late to Go Back","影壁背面写着“回头是岸”。","",1,0
"2016/20160209_BeiYanDang/DSC06307.JPG",2016-02-09 10:00:02,"2016,beiyandang,animals,travel","庵中猫","Cat in Nunnery","白云庵中一只很警觉的小猫。","",0,0
"2016/20160209_BeiYanDang/DSC06308.JPG",2016-02-09 10:00:41,"2016,beiyandang,animals,travel","庵中猫打滚","Cat in Nunnery Rolling","白云庵中的小猫在花盆里打滚。","",1,0
"2016/20160209_BeiYanDang/DSC06309.JPG",2016-02-09 10:06:55,"2016,beiyandang,sites,travel","合掌峰","Ling Peak","合掌峰。","",0,0
"2016/20160210_Ningbo/DSC06311.JPG",2016-02-10 10:11:47,"2016,ningbo,sites,travel","天一阁牌匾","Tian Yi Ge","天一阁的牌子。","",0,0
"2016/20160210_Ningbo/DSC06313.JPG",2016-02-10 10:19:07,"2016,ningbo,people,travel","红领巾志愿者","Red Scarf Volunteer","一个带着红领巾的小女孩，字正腔圆地背诵着解说词。","",1,0
"2016/20160210_Ningbo/DSC06316.JPG",2016-02-10 10:28:09,"2016,ningbo,interesting,travel","守护神兽","Guardian","天一阁中发现了四座猫雕像。","",1,0
"2016/20160210_Ningbo/DSC06319.JPG",2016-02-10 10:34:34,"2016,ningbo,interesting,travel","守护神兽","Guardian","天一阁中发现了四座猫雕像。","",0,0
"2016/20160210_Ningbo/DSC06322.JPG",2016-02-10 10:39:21,"2016,ningbo,interesting,travel","守护神兽","Guardian","天一阁中发现了四座猫雕像。","",0,0
"2016/20160210_Ningbo/DSC06326.JPG",2016-02-10 10:42:44,"2016,ningbo,interesting,travel","守护神兽","Guardian","天一阁中发现了四座猫雕像。","",0,0
"2016/20160210_Ningbo/DSC06328.JPG",2016-02-10 10:43:51,"2016,ningbo,interesting,travel","守护神兽","Guardian","天一阁中发现了四座猫雕像。","",0,0
"2016/20160210_Ningbo/DSC06329.JPG",2016-02-10 10:44:52,"2016,ningbo,interesting,travel","守护神兽","Guardian","天一阁中发现了四座猫雕像。","",0,0
"2016/20160210_Ningbo/DSC06336.JPG",2016-02-10 11:12:37,"2016,ningbo,people,travel","红领巾志愿者","Red Scarf Volunteer","红领巾志愿者搬到了门口。","",0,0
"2016/20160210_Ningbo/DSC06337.JPG",2016-02-10 12:36:10,"2016,ningbo,sites,travel","宁波美术馆","Ningbo Art Museum","宁波美术馆，位于宁波老外滩。","",0,0
"2016/20160210_Ningbo/DSC06341.JPG",2016-02-10 13:20:49,"2016,ningbo,sites,travel","宁波老外滩","Ningbo Bund","宁波老外滩。","",0,0
"2016/20160210_Ningbo/DSC06350.JPG",2016-02-10 13:34:46,"2016,ningbo,sites,travel","宁波老外滩书店","Bookstore in Ningbo Bund","老外滩桥下的书店。","",0,0
"2016/20160210_Ningbo/DSC06352.JPG",2016-02-10 13:48:11,"2016,ningbo,sites,travel","宁波住宅楼","Ningbo Building","宁波街边的住宅楼。","",0,0
"2016/20160210_Ningbo/DSC06355.JPG",2016-02-11 09:06:16,"2016,ningbo,interesting,travel","守护神兽","Guardian","宁波美术馆外面摆设的猫雕像。","",1,0
"2016/20160210_Ningbo/DSC06357.JPG",2016-02-11 09:13:15,"2016,ningbo,photographer,travel","老伴拍照","Old Couple Taking Picture","老两口在拍照留念。","",1,0
"2016/20160210_Ningbo/DSC06358.JPG",2016-02-11 09:17:00,"2016,ningbo,photographer,travel","一家人自拍","Family Selfie","家庭自拍。","",0,0
"2016/20160210_Ningbo/DSC06365.JPG",2016-02-11 09:30:47,"2016,ningbo,sites,travel","断壁和天主堂","Broken Wall and Church","断壁和天主堂。","",0,0
"2016/20160210_Ningbo/DSC06366.JPG",2016-02-11 09:31:04,"2016,ningbo,sites,travel","宁波老外滩","Ningbo Bund","宁波老外滩老街。","",0,0
"2016/20160210_Ningbo/DSC06367.JPG",2016-02-11 09:31:40,"2016,ningbo,plants,travel","梅花","Plum Blossom","梅花。","",0,0
"2016/20160210_Ningbo/DSC06370.JPG",2016-02-11 09:34:52,"2016,ningbo,sites,travel","宁波老外滩街景","Ningbo Bund Street","宁波老外滩老街。","",1,0
"2016/20160217_Beijing/DSC06373.JPG",2016-02-19 11:25:38,"2016,beijing,animals,travel","熊猫","Panda","熊猫。","",0,0
"2016/20160217_Beijing/DSC06375.JPG",2016-02-19 12:13:41,"2016,beijing,animals,travel","睡觉的老虎","Sleeping Tiger","狮子。","",0,0
"2016/20160226_LvShun_Shanghai/DSC06382.JPG",2016-02-27 17:19:18,"2016,lvshun,sites,travel","旅顺口老虎尾","Lvshun Tiger’s Tail","旅顺口老虎尾。","",0,0
"2016/20160226_LvShun_Shanghai/DSC06388.JPG",2016-02-28 13:03:56,"2016,lvshun,sites,travel","龙河家园","Longhe Community","龙河家园。","",0,0
"2016/20160226_LvShun_Shanghai/DSC06390.JPG",2016-02-29 16:34:12,"2016,shanghai,sites,travel","上海城隍庙街道","Shanghai City God Temple Streets","","",0,0
"2016/20160226_LvShun_Shanghai/DSC06394.JPG",2016-02-29 17:13:21,"2016,shanghai,animals,travel","盯着鱼的鸟","A Bird Staring at Fishes","","",1,0
"2016/20160226_LvShun_Shanghai/DSC06398.JPG",2016-02-29 17:17:14,"2016,shanghai,photographer,travel","自拍","Selfie","","",1,0
"2016/20160226_LvShun_Shanghai/DSC06399.JPG",2016-02-29 17:17:27,"2016,shanghai,photographer,travel","自拍","Selfie","","",0,0
"2016/20160226_LvShun_Shanghai/DSC06403.JPG",2016-02-29 17:24:38,"2016,shanghai,sites,travel","城隍庙","City God Temple","","",0,0
"2016/20160226_LvShun_Shanghai/DSC06404.JPG",2016-02-29 17:34:10,"2016,shanghai,sites,travel","日落","Sunset","","",0,0
